Introduction,Author 1,Author 2,Author 3,Author 4,Author 5,Journal,Year,Citations,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Article_Gender
,Yueming,Gregory,Michael,None,None,Resource and Energy Economics,"Volume 47, February 2017, Pages 126-142",32,unknown,male,male,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Page IFC",0,,,,,,Unknown
,Edward,None,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 178-191",31,male,,,,,Male
,Philippe,Elizabeth,Sébastien,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 192-210",15,male,female,male,,,Mix
,Timothy,None,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 1-17",80,male,,,,,Male
,Andrew,None,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 18-30",21,male,,,,,Male
,Michael,Johannes,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 31-45",7,male,male,,,,Male
,Flavius,Rolf,Munisamy,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 46-64",17,male,male,unknown,,,Mix
,Mahelet,Luis,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 65-79",9,unknown,male,,,,Mix
,Clinton,None,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 80-98",7,male,,,,,Male
,Andrea,Ornella,Cecilia,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 99-123",20,female,female,female,,,Female
,Jed,Klaus,Johannes,Michael,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 124-143",18,male,male,male,male,,Male
,Mark,Achim,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 144-158",51,male,male,,,,Male
,Osiris,Elissaios,None,None,None,Resource and Energy Economics,"Volume 45, August 2016, Pages 159-177",47,unknown,unknown,,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Page IFC",0,,,,,,Unknown
,Dietrich,Unknown,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 1-22",11,male,unknown,,,,Mix
,Yanxu,Charles,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 23-38",14,unknown,male,,,,Mix
,Qi,Lin,Hua,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 39-51",22,unknown,female,unknown,,,Mix
,Timothy,Onur,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 52-70",12,male,male,,,,Male
,Silvia,Stefano,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 71-91",25,female,male,,,,Mix
,Erik,Harold,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 92-117",5,male,male,,,,Male
,Andrew,Kurt,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 118-138",7,male,male,,,,Male
,Hans,Noemi,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 139-168",6,male,female,,,,Mix
,Germà,Raymond,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 169-182",43,unknown,male,,,,Mix
,Thierry,Natali,Yuri,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 183-205",19,male,female,male,,,Mix
,Dragana,Carsten,None,None,None,Resource and Energy Economics,"Volume 44, May 2016, Pages 206-233",41,female,male,,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 43, February 2016, Page IFC",0,,,,,,Unknown
,Tsung-Hsiu,Chia-Chi,Jiunn-Rong,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 1-13",38,unknown,unknown,unknown,,,Mix
,Limin,Aoife,Ning,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 14-32",108,unknown,female,unknown,,,Mix
,Peter-Jan,Clemens,Ye,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 33-56",16,unknown,male,unknown,,,Mix
,Thijs,Stephane,Roy,Marjan,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 57-73",36,male,unknown,male,male,,Mix
,Daniel,Dirk,None,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 74-92",18,male,male,,,,Male
,Taeyoung,Christian,None,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 93-111",10,unknown,male,,,,Mix
,Michael,Thea,None,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 112-129",14,male,female,,,,Mix
,Tommy,Per-Olov,Shanshan,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 130-152",47,male,unknown,unknown,,,Mix
,Unknown,Unknown,Unknown,Unknown,Unknown,Resource and Energy Economics,"Volume 43, February 2016, Pages 153-171",60,unknown,unknown,unknown,unknown,unknown,Mix
,Hanna,Sascha,Reinhilde,None,None,Resource and Energy Economics,"Volume 43, February 2016, Pages 172-194",50,female,unknown,female,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Page IFC",0,,,,,,Unknown
,Nils,Jon,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 1-18",4,male,male,,,,Male
,Yiannis,Zoran,Johannes,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 19-39",5,unknown,male,male,,,Mix
,Marisa,Nicholas,Randall,Hidemichi,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 40-69",127,female,male,male,unknown,,Mix
,Irena,Asher,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 70-90",39,female,male,,,,Mix
,Eugenio,Roberto,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 91-102",8,male,male,,,,Male
,Lammertjan,Bert,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 103-121",56,unknown,male,,,,Mix
,Jürgen,Klaus,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 122-142",11,male,male,,,,Male
,Halvor,None,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 143-163",4,male,,,,,Male
,Werner,Unknown,Ivan,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 164-184",3,male,unknown,male,,,Mix
,Alessio,Massimiliano,Francesco,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 185-201",66,male,male,male,,,Male
,Antonio,Benjamin,Mario,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 202-223",12,male,male,male,,,Male
,Alessio,Bouwe,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 224-247",26,male,unknown,,,,Mix
,Juan,None,None,None,None,Resource and Energy Economics,"Volume 41, August 2015, Pages 248-263",52,male,,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 40, May 2015, Page IFC",0,,,,,,Unknown
,Satoshi,Sarah,Unknown,Tom,None,Resource and Energy Economics,"Volume 40, May 2015, Pages 1-18",9,male,female,unknown,male,,Mix
,Rupayan,Bibhas,None,None,None,Resource and Energy Economics,"Volume 40, May 2015, Pages 19-35",71,unknown,unknown,,,,Mix
,Samuel,Frédéric,Marjan,None,None,Resource and Energy Economics,"Volume 40, May 2015, Pages 36-56",29,male,male,male,,,Male
,Hajime,Dao-Zhi,Laixun,None,None,Resource and Energy Economics,"Volume 40, May 2015, Pages 57-84",32,male,unknown,unknown,,,Mix
,Eduard,Francisco,None,None,None,Resource and Energy Economics,"Volume 40, May 2015, Pages 85-106",12,male,male,,,,Male
,Timothy,Charles,None,None,None,Resource and Energy Economics,"Volume 40, May 2015, Pages 107-126",5,male,male,,,,Male
,Thomas,Rüdiger,None,None,None,Resource and Energy Economics,"Volume 40, May 2015, Pages 127-142",18,male,male,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 39, February 2015, Page IFC",0,,,,,,Unknown
,Carrie,Martin,None,None,None,Resource and Energy Economics,"Volume 39, February 2015, Pages 1-15",23,female,male,,,,Mix
,Jongmin,Mindy,None,None,None,Resource and Energy Economics,"Volume 39, February 2015, Pages 16-28",11,unknown,female,,,,Mix
,Lucas,None,None,None,None,Resource and Energy Economics,"Volume 39, February 2015, Pages 29-52",33,male,,,,,Male
,Giulio,Alessio,Massimiliano,None,None,Resource and Energy Economics,"Volume 39, February 2015, Pages 53-67",32,male,male,male,,,Male
,Chandra,Bengt,None,None,None,Resource and Energy Economics,"Volume 39, February 2015, Pages 68-88",91,unknown,male,,,,Mix
,Thuy,Wiktor,Peter,None,None,Resource and Energy Economics,"Volume 39, February 2015, Pages 89-107",14,unknown,male,male,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Page IFC",0,,,,,,Unknown
,Mindy,Amy,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 1-18",33,female,female,,,,Female
,George,Nickolaos,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 19-37",13,male,unknown,,,,Mix
,Heinz,Philipp,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 38-60",31,male,male,,,,Male
,Thierry,Guy,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 61-83",26,male,male,,,,Male
,Todd,Steffen,Stephan,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 84-95",39,male,male,male,,,Male
,Ragnhild,None,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 96-109",2,female,,,,,Female
,Yonas,Sied,Gunnar,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 110-124",26,unknown,unknown,male,,,Mix
,María,Francesc,Manuel,Ramón,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 125-140",80,unknown,male,male,male,,Mix
,Takuro,None,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 141-167",2,male,,,,,Male
,Abeer,Santiago,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 168-180",30,female,male,,,,Mix
,Zhuo,Jordan,Kent,Joshua,Holly,Resource and Energy Economics,"Volume 38, November 2014, Pages 181-197",13,unknown,male,male,male,female,Mix
,Vincent,None,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 198-220",19,male,,,,,Male
,Peter,Emma,None,None,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 221-242",3,male,female,,,,Mix
,Marije,Roy,Inge,Leo,None,Resource and Energy Economics,"Volume 38, November 2014, Pages 243-260",53,female,male,female,male,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Page IFC",0,,,,,,Unknown
,Nathan,Matthew,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 1-16",22,male,male,,,,Male
,Francisco,Katrin,Mabel,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 17-38",16,male,female,female,,,Mix
,Jacob,Søren,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 39-63",57,male,male,,,,Male
,Dorothée,None,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 64-84",96,female,,,,,Female
,Frank,Martin,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 85-101",48,male,male,,,,Male
,Rui,John,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 102-121",12,male,male,,,,Male
,Matti,Juan-Pablo,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 122-146",6,male,unknown,,,,Mix
,Chiara,Silvia,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 147-167",22,female,female,,,,Female
,Jeremy,None,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 168-183",144,male,,,,,Male
,Dénes,Margarethe,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 184-200",11,male,female,,,,Mix
,Christoph,Bouwe,Knut,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 201-225",33,male,unknown,male,,,Mix
,Paul,Robert,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 226-241",18,male,male,,,,Male
,Christian,None,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 242-252",15,male,,,,,Male
,Corina,None,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 253-278",17,female,,,,,Female
,Mark,Anco,None,None,None,Resource and Energy Economics,"Volume 37, August 2014, Pages 279-301",54,male,male,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Page CO2",0,,,,,,Unknown
,Yi-Chia,None,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 451-466",36,unknown,,,,,Mix
,Nicholas,None,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 467-485",44,male,,,,,Male
,Maria,Dimitrios,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 486-504",20,female,male,,,,Mix
,David,Nidhi,Karen,Mort,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 505-533",40,male,female,female,male,,Mix
,Jing,Alistair,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 534-557",52,unknown,male,,,,Mix
,Pierre,Sjak,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 558-571",3,male,male,,,,Male
,Stephen,None,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 572-581",4,male,,,,,Male
,Markus,Bruno,Anne-Renée,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 582-598",7,male,male,unknown,,,Mix
,Eric,Walid,Gérard,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 599-617",41,male,male,male,,,Male
,Jean-Pierre,Michel,None,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 618-636",8,male,male,,,,Male
,Fabien,Mabel,Cees,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 637-658",16,male,female,male,,,Mix
,Louis,Randy,Douglas,None,None,Resource and Energy Economics,"Volume 35, Issue 4, November 2013, Pages 659-678",4,male,unknown,male,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Page CO2",0,,,,,,Unknown
,Alejandro,None,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 413-430",9,male,,,,,Male
,Chu-Chuan,Yu-Bong,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 431-441",21,unknown,unknown,,,,Mix
,Jevan,None,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 442-467",150,unknown,,,,,Mix
,Michel,Charles,Serge,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 468-492",50,male,male,male,,,Male
,Sandra,Ping,Alan,Burmaajav,Suvd,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 493-513",26,female,unknown,male,unknown,unknown,Mix
,Chih-Hai,Yu-Hsuan,Chiang-Ping,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 514-532",277,unknown,unknown,unknown,,,Mix
,Jon,Knut,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 533-548",14,male,male,,,,Male
,Jeffrey,Dennis,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 549-564",45,male,male,,,,Male
,Rob,Michael,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 565-584",13,male,male,,,,Male
,Robert,Christian,Michael,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 585-606",28,male,male,male,,,Male
,Harrison,Ian,William,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 607-623",48,male,male,male,,,Male
,Enrica,Massimo,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 624-646",18,female,male,,,,Mix
,James,Yihsu,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 647-668",47,male,unknown,,,,Mix
,Norimichi,Yoko,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 669-679",20,unknown,female,,,,Mix
,Michael,Svenn,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 680-695",18,male,male,,,,Male
,Nicholas,None,None,None,None,Resource and Energy Economics,"Volume 34, Issue 4, November 2012, Pages 696-722",40,male,,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 33, Issue 4, November 2011, Page CO2",0,,,,,,Unknown
,None,None,None,None,None,Resource and Energy Economics,"Volume 32, Issue 4, November 2010, Page CO2",0,,,,,,Unknown
,Richard,Frank,None,None,None,Resource and Energy Economics,"Volume 32, Issue 4, November 2010, Pages 477-482",7,male,male,,,,Male
,Heidi,Carolyn,James,None,None,Resource and Energy Economics,"Volume 32, Issue 4, November 2010, Pages 483-499",39,female,female,male,,,Mix
,Eli,Richard,James,None,None,Resource and Energy Economics,"Volume 32, Issue 4, November 2010, Pages 500-518",39,female,male,male,,,Mix
"2. The modelIn this section, we describe the partially observable Markov decision process (POMDP) for controlling an invasive species with imperfect information about the level of infestation. The model described here is quite general including potentially many management actions and levels of infestation. In Section3, we apply the POMDP to a specific case with four mutually exclusive management actions, including monitoring and treatment, and three possible levels of infestation.Suppose there arenpossible states of the ecosystem representing different levels of infestation, indexed byi,i= 1, …,n. At the beginning of each period,t= 1, …,T, the decision-maker does not know for sure the current state of the ecosystem and instead has a set of beliefs represented by a probability distribution (π1t, …,πnt), whereπitequals the probability of being in stateiat the start of periodt,πit≥ 0,∑iπit=1. Each periodt, the manager chooses a management action,a, from the feasible management setA, based on the current vector of belief probabilities (π1t, …,πnt). Following the management action, the state of the infestation may change, and we define ann×ntransition matrixPawhere each elementpijaequals the probability of moving from stateiin periodtto statejin periodt+ 1 after taking actiona.Recognizing that the manager may not observe the true state of the infestation, we define an indexθ= 1, …,nfor the states that the manager may observe in periodt+ 1 after taking an action in periodt. Further, we define ann×nmatrixRawith elementsrjθa,j= 1, …,nandθ= 1, …,nwhere each elementrjθais the probability that the manager observes an infestation stateθin periodt+ 1 given an actual infestation statejafter taking actionain periodt, withrjθa≥0and∑θ=1nrjθa=1. The probability of correctly observing infestation statejisrjja. Forθ≠j,rjθais the probability of observing an incorrect infestation state. The matrixRarepresents the probability distributions of observations for all of the potential statesj= 1, …,n.We use the matrixRaof probabilities of observing the infestation in different states to update the manager's belief probabilities from periodtto periodt+ 1. Given an observed stateθafter taking actionain periodtand the set of prior belief probabilities (π1t, …,πnt), Bayes’ rule provides an estimate of the updated belief probability,πjt+1, of being in statejperiodt+ 1:(1)πjt+1|θ,a=∑i=1nπitpijarjθa∑i=1n∑k=1nπitpikarkθaThe updated probability of being in statejin periodt+ 1,πjt+1|θ,a, depends on the observed stateθafter taking actionain periodt. The updated belief probability is the ratio of the probability of observing stateθgiven the true state isj(numerator) and the probability of observing stateθover all possible statesk= 1,…,n(denominator). Without a perfect signal there will be some uncertainty about the true state. If the manager were to always observe the true infestation state, then the observation matrixRawould be an identity matrix and there would be no uncertainty about the state.In our model, the manager faces two types of costs: damage costs and management costs. Letdiabe the damage costs for a time period starting in stateiand taking management actiona. Letmiabe the management cost for a time period (e.g., the cost of monitoring and/or treatment) starting in stateiand taking management actiona.At the beginning of each periodt= 1, …,T− 1, the manager's problem is to determine the best action given the set of beliefs about the infestation state. We define an optimal value functionVt(π1t, …,πnt) as the minimum discounted cost of optimal actions beginning periodtwith belief state (π1t, …,πnt) until the terminal periodT. With this notation, the manager's problem can be formulated as a discrete-time dynamic program:(2)Vt(π1t,…,πnt)=mina∈A∑i=1nπit(dia+mia)+δ∑i=1n∑j=1n∑θ=1nπitpijarjθaVt+1(π1t+1|θ,a),…,(πnt+1|θ,a)t=1,…,T−1with terminal condition,(3)VTπ1T,…,πnT=mina∈A∑iπiT(dia+mia)The first term inside the brackets of Eq.(2)is the expected cost in periodtof taking actionagiven the current belief probabilities (π1t, …,πnt). The second term inside the brackets of Eq.(2)is the expected discounted cost in periodt+ 1 after taking actionain periodt, whereδis the discount factor. Expected discounted cost in periodt+ 1 is the weighted sum of the optimal values associated with all possible sets of updated belief states where each weight,πitpijarjθa, represents the probability of beginning in statei, moving to statej, and making observationθ, after taking actiona.We use a discrete, stochastic dynamic programming algorithm to find approximately optimal solutions to the POMDP problem represented by Eqs.(1),(2),(3). Although numerical procedures based on linear programming have been developed to find exact solutions to POMDP problems (seeMonahan, 1982andCassandra, 1994for reviews), these procedures are complicated and require custom software.The stochastic dynamic programming algorithm works as follows. For computational reasons, we define discrete classes for the belief probability for each infestation statei. Each elementπitof the probability distribution of beliefs in periodt(π1t, …,πnt) is assigned to one of the discrete probability classes. Increasing the number of classes means we come closer to the probabilities calculated using Bayes’ rule (Eq.(1)) and more closely approximate the optimal answer. The dynamic program (Eq.(2)) is solved backward starting from the terminal periodT(Eq.(3)). In each periodt, the optimal value functionVt(π1t, …,πnt) is calculated for each belief state (π1t, …,πnt) by choosing the management action with the minimum expected discounted cost. To calculate the expected discounted cost of a given management actiona, we first calculate the expected cost of the action in periodt(first summation inside the brackets in Eq.(2)). Then, we use Bayes’ rule (Eq.(1)) to calculateπjt+1|θ,a, the updated belief probability of being in statejin periodt+ 1 given observationθafter management actionawas applied. The updated beliefπjt+1|θ,ais then assigned to one of the discrete probability classes. Repeating this procedure for all statesj= 1, …,n, we obtain the updated belief state ((π1t+1|θ,a), …, (πnt+1|θ,a)). Finally, the optimal values associated with the updated belief states,Vt+1((π1t+1|θ,a), …, (πnt+1|θ,a)), for all possible state transitions and observations are used to calculate the expected discounted cost starting in periodt+ 1 from taking actionain periodt(second summation inside the brackets in Eq.(2)).The backward recursion is solved iteratively from periodTto period 1. The result is an optimal policy that gives the best action to take in each periodtfor each belief state along with the optimal value of that action. Strictly speaking, our dynamic programming algorithm finds approximately optimal rather than exactly optimal solutions because the updated beliefs calculated using Bayes’ rule (Eq.(1)) are classified into discrete probability classes. While simple in concept, this dynamic programming algorithm is very time consuming when applied to problems with many system states and actions. In the next section we solve for optimal solutions in the case where there are three possible states of the ecosystem and four mutually exclusive actions.",Robert,Stephen,None,None,None,Resource and Energy Economics,"Volume 32, Issue 4, November 2010, Pages 519-533",50,male,male,,,,Male
,David,Alexei,Mark,None,None,Resource and Energy Economics,"Volume 32, Issue 4, November 2010, Pages 534-550",25,male,male,male,,,Male
,Wei,Wopke,Scott,None,None,Resource and Energy Economics,"Volume 32, Issue 4, November 2010, Pages 551-565",16,unknown,unknown,male,,,Mix
